A Coruña,Alvedro Airport,LCG
Bujumbura,Bujumbura International Airport,BJM
Bulawayo,Joshua Mqabuko Nkomo International Airport,BUQ
Burgas,Burgas Airport,BOJ
Bursa,Yenişehir Airport,YEI
Busan,Gimhae International Airport,PUS
Bydgoszcz,Bydgoszcz Ignacy Jan Paderewski Airport,BZG
Béziers,Béziers Cap d'Agde Airport,BZR
Cagayan,Cagayan Special Economic Zone,Cagayan North International Airport
Cagliari,Cagliari Airport,CAG
Cairns,Cairns Airport,CNS
Cairo,Cairo International Airport,CAI
Calabar,Margaret Ekpo International Airport,CBQ
Calgary,Calgary International Airport,YYC
Cali,Alfonso Bonilla Aragon International Airport,CLO
Camagüey,Ignacio Agramonte International Airport,CMW
Campinas,Viracopos International Airport,VCP
Campo Grande,Campo Grande International Airport,CGR
Can Tho,Can Tho International Airport,VCA
Canberra,Canberra Airport,CBR
Cancún,Cancun International Airport,CUN
Canouan,Canouan Airport,CIW
Cap-Haïtien,Hugo Chávez International Airport,CAP
Cape Town,Cape Town International Airport,CPT
Caracas,Simón Bolívar International Airport,CCS
Carcassonne,Salvaza Airport,CCF
Cardiff,Cardiff Airport,CWL
Cartagena de Indias,Rafael Núñez International Airport,CTG
Casablanca,Mohammed V International Airport,CMN
Catania,Fontanarossa Airport,CTA
Cayenne,Cayenne-Rochambeau Airport,CAY
Cayman Brac,Charles Kirkconnell International Airport,CYB
Cayo Coco,Jardines del Rey Airport,CCC
Cayo Largo del Sur,Vilo Acuña Airport,CYO
Cephalonia,Kefalonia Island International Airport,EFL
Chambéry,Chambéry-Savoie Airport,CMF
Chandigarh,Chandigarh International Airport,IXC
Changchun,Changchun Longjia International Airport,CGQ
Changsha,Changsha Huanghua International Airport,CSX
Changzhou,Changzhou Benniu Airport,CZX
Chania,Chania International Airport,CHQ
Charleston,Charleston International Airport,CHS
Charlotte,Charlotte/Douglas International Airport,CLT
Cheboksary,Cheboksary Airport,CSY
Chelyabinsk,Chelyabinsk Airport,CEK
Chengdu,Chengdu Shuangliu International Airport,CTU
Chennai,Chennai International Airport,MAA
Cheongju,Cheongju International Airport,CJJ
Cherepovets,Cherepovets Airport,CEE
Chernivtsi,Chernivtsi International Airport,CWC
Chiang Mai,Chiang Mai International Airport,CNX
Chiang Rai (city),Mae Fah Luang International Airport,CEI
Chicago,Chicago Midway International Airport,MDW
Chicago,O'Hare International Airport,ORD
Chihuahua City,Roberto Fierro Villalobos International Airport,CUU
Chios,Chios Island National Airport,JKH
Chita,Kadala Airport,HTA
Chitral,Chitral Airport,CJL
Chittagong,Shah Amanat International Airport,CGP
Chişinău,Chişinău International Airport,KIV
Chlef,Chlef International Airport,CFK
Chongqing,Chongqing Jiangbei International Airport,CKG
Christ Church,Grantley Adams International Airport,BGI
Christchurch,Christchurch International Airport,CHC
Christmas Island,Christmas Island Airport,XCH
Chub Cay,Chub Cay International Airport,CCZ
Chuuk State,Chuuk International Airport,TKK
Châlons-en-Champagne,Châlons Vatry Airport,XCR
Cienfuegos,Jaime González Airport,CFG
Cincinnati,Cincinnati/Northern Kentucky International Airport,CVG
Ciudad del Carmen,Ciudad del Carmen International Airport,CME
Ciudad del Este,Guaraní International Airport,AGT
Cleveland,Cleveland Hopkins International Airport,CLE
Cluj-Napoca,Cluj-Napoca International Airport,CLJ
Cochin,Cochin International Airport,COK
Cocos (Keeling) Islands,Cocos (Keeling) Islands Airport,CCK
Coimbatore,Coimbatore International Airport,CJB
Cologne,Cologne/Bonn Airport,CGN
Colombo,Bandaranaike International Airport,CMB
Columbus,John Glenn Columbus International Airport,CMH
Columbus,Rickenbacker International Airport,LCK
Conakry,Conakry International Airport,CKY
Concepción,Carriel Sur International Airport,CCP
Constantine,Mohamed Boudiaf Airport,CZL
Constanța,Mihail Kogălniceanu International Airport,CND
Cook Islands,Rarotonga Airport,RAR
Copenhagen,Copenhagen Airport,CPH
Corfu,Ioannis Kapodistrias Airport,CFU
Cork (city),Cork Airport,ORK
Corn Island,Corn Island Airport,RNI
Cotonou,Cadjehoun Airport,COO
County Kerry,Kerry Airport,KIR
Cozumel,Cozumel International Airport,CZM
Cuenca,Mariscal Lamar International Airport,CUE
Cuiabá,Marechal Rondon International Airport,CGB
Culiacán,Federal de Bachigualato International Airport,CUL
Cuneo,Cuneo Levaldigi Airport,CUF
Curitiba,Afonso Pena International Airport,CWB
Cusco,Alejandro Velasco Astete International Airport,CUZ
Córdoba,Ingeniero Ambrosio L.V. Taravella International Airport,COR
Cúcuta,Camilo Daza International Airport,CUC
Da Nang,Da Nang International Airport,DAD
Daegu,Daegu Airport,TAE
Dakar,Léopold Sédar Senghor International Airport,DKR
Dakhla,Dakhla Airport,VIL
Dalaman,Dalaman Airport,DLM
Dalian,Dalian Zhoushuizi International Airport,DLC
Dallas,Dallas/Fort Worth International Airport,DFW
Damascus,Damascus International Airport,DAM
Dammam,King Fahd International Airport,DMM
Dandong,Dandong Langtou Airport,DDG
Dar es Salaam,Julius Nyerere International Airport,DAR
Darwin,Darwin International Airport,DRW
Davao City,Francisco Bangoy International Airport,DVO
David,Enrique Malek International Airport,DAV
Dayton,Dayton International Airport,DAY
Debrecen,Debrecen International Airport,DEB
Delhi,Indira Gandhi International Airport,DEL
Denpasar,Ngurah Rai International Airport,DPS
Denver,Denver International Airport,DEN
Dera Ghazi Khan,Dera Ghazi Khan International Airport,DEA
Dera Ismail Khan,Dera Ismail Khan Airport,DSK
Derry,City of Derry Airport,LDY
Des Moines (IA),Des Moines International Airport,DSM
Detroit,Detroit Metropolitan Wayne County Airport,DTW
Dhaka,Hazrat Shahjalal International Airport,DAC
Dholera,Dholera International Airport,DHR
Dili,Presidente Nicolau Lobato International Airport,DIL
Dinard,Pleurtuit Airport,DNR
Dire Dawa,Aba Tenna Dejazmach Yilma International Airport,DIR
Djerba,Zarzis Airport,DJE
Djibouti City,Djibouti–Ambouli International Airport,JIB
Dnipro,Dnipropetrovsk International Airport,DNK
Doha,Hamad International Airport,DOH
Doncaster,Robin Hood Airport Doncaster Sheffield,DSA
Donetsk,Donetsk Airport,DOK
Dortmund,Dortmund Airport,DTM
Douala,Douala Airport,DLA
Dubai,Al-Maktoum International Airport,DWC
Dubai,Dubai International Airport,DXB
Dublin,Dublin Airport,DUB
Dubrovnik,Dubrovnik Airport,DBV
Dunedin,Dunedin International Airport,DUD
Dunhuang,Dunhuang Airport,DNH
Durango,General Guadalupe Victoria International Airport,DGO
Durban,King Shaka International Airport,DUR
Dushanbe,Dushanbe Airport,DYU
Dzaoudzi,Dzaoudzi–Pamandzi International Airport,DZA
Düsseldorf,Düsseldorf Airport,DUS
Easter Island,Mataveri International Airport,IPC
Edinburgh,Edinburgh Airport,EDI
Edmonton,Edmonton International Airport,YEG
Eilat,Ovda International Airport,VDA
Eilat,Ramon Airport,ETM
Eindhoven,Eindhoven Airport,EIN
El Aaiún,Hassan I Airport,EUN
El Arish,El Arish International Airport,AAC
El Dabaa,Al Alamain International Airport,DBB
Eldoret,Eldoret International Airport,EDL
Elista,Elista Airport,ESL
Enfidha,Enfidha-Hammamet International Airport,NBE
Entebbe,Entebbe International Airport,EBB
Enugu,Akanu Ibiam International Airport,ENU
Esmeraldas,Carlos Concha Torres International Airport,ESM
Exeter,Exeter International Airport,EXT
Exuma,Exuma International Airport,GGT
Fairbanks,Fairbanks International Airport,FAI
Faisalabad,Faisalabad International Airport,LYP
Faro,Faro Airport,FAO
Fes,Fes-Saïss Airport,FEZ
Figari,Figari Sud-Corse Airport,FSC
Florence,Peretola Airport,FLR
Flores,Mundo Maya International Airport,FRS
Florianópolis,Hercílio Luz International Airport,FLN
Fort Lauderdale,Fort Lauderdale-Hollywood International Airport,FLL
Fort Myers,Southwest Florida International Airport,RSW
Fort-de-France,Martinique Aimé Césaire International Airport,FDF
Fortaleza,Pinto Martins International Airport,FOR
Foz do Iguaçu,Cataratas International Airport,IGU
Franceville,M'Vengue El Hadj Omar Bongo Ondimba International Airport,MVB
Francistown,Francistown Airport,FRW
Frankfurt,Frankfurt Airport,FRA
Frankfurt,Frankfurt-Hahn Airport,HHN
Freeport,Grand Bahama International Airport,FPO
Freetown,Lungi International Airport,FNA
Freiburg im Breisgau,EuroAirport Basel–Mulhouse–Freiburg,MLH/BSL/EAP
Fresno,Fresno Yosemite International Airport,FAT
Friedrichshafen,Friedrichshafen Airport,FDH
Fuerteventura,Fuerteventura Airport,FUE
Fukuoka,Fukuoka Airport,FUK
Funafuti,Funafuti International Airport,FUN
Funchal,Madeira Airport,FNC
Futuna Island,Pointe Vele Airport,FUT
Fuzhou,Fuzhou Changle International Airport,FOC
Gaborone,Sir Seretse Khama International Airport,GBE
Galkayo,Abdullahi Yusuf Airport,GBY
Gander,Gander International Airport,YQX
Ganja,Ganja International Airport,KVD
Garoowe,Garowe Airport,GGR
Gaya,Gaya International Airport,GAY
Gaziantep,Oğuzeli Airport,GZT
Gdańsk,Gdańsk Lech Wałęsa Airport,GDN
General Santos,General Santos International Airport,GES
Geneva,Geneva International Airport,GVA
Genoa,Cristoforo Colombo Airport,GOA
Georgetown,Cheddi Jagan International Airport,GEO
Georgetown,Owen Roberts International Airport,GCM
Gibraltar,North Front Airport,GIB
Gilgit,Gilgit Airport,GIL
Girona,Girona-Costa Brava Airport,GRO
Glasgow,Glasgow International Airport,GLA
Glasgow,Glasgow Prestwick Airport,PIK
Goa,Goa International Airport,GOI
Goa,Mopa Airport,MGI
Goiânia,Santa Genoveva Airport,GYN
Gold Coast,Gold Coast Airport,OOL
Goma,Goma International Airport,GOM
Gomel,Gomel Airport,GME
Gothenburg City Airport,GSE,Reliever
Gran Canaria,Gran Canaria Airport,LPA
Granada,Granada Airport,GRX
Graz,Graz Airport,GRZ
Green Bay,Green Bay–Austin Straubel International Airport,GRB
Grenada,Maurice Bishop International Airport,GND
Grenoble,Grenoble-Isère Airport,GNB
Grodno,Hrodna Airport,GNA
Groningen (city),Groningen Airport Eelde,GRQ
Grozny,Grozny Airport,GRV
Guadalajara,Don Miguel Hidalgo y Costilla International Airport,GDL
Guangzhou,Guangzhou Baiyun International Airport,CAN
Guatemala City,La Aurora International Airport,GUA
Guayaquil,José Joaquín de Olmedo International Airport,GYE
Guernsey,Guernsey Airport,GCI
Guilin,Guilin Liangjiang International Airport,KWL
Guiyang,Guiyang Longdongbao Airport,KWE
Guwahati,Lokpriya Gopinath Bordoloi International Airport,GAU
Gwadar,Gwadar International Airport,GWD
Gyumri,Shirak Airport,LWN
Győr-Pér,Győr-Pér International Airport,QGY
Göteborg Landvetter Airport,GOT,Medium
Hagåtña,Antonio B. Won Pat International Airport,GUM
Hai District,Kilimanjaro International Airport,JRO
Haifa,Haifa Airport,HFA
Haikou,Haikou Meilan International Airport,HAK
Haiphong,Cat Bi International Airport,HPH
Hakodate,Hakodate Airport,HKD
Halifax,Halifax Stanfield International Airport,YHZ
Hambantota,Mattala Rajapaksa International Airport,HRi
Hamburg,Hamburg Airport,HAM
Hamilton,John C. Munro Hamilton International Airport,YHM
Hanga Roa,Mataveri International Airport,IPC
Hangzhou,Hangzhou Xiaoshan International Airport,HGH
Hanoi,Noi Bai International Airport,HAN
Hanover,Langenhagen Airport,HAJ
Harare,Robert Gabriel Mugabe International Airport,HRE
Harbin,Harbin Taiping International Airport,HRB
Hargeisa,Hargeisa Airport,HGA
Hartford,Bradley International Airport,BDL
Hassi Messaoud,Oued Irara Airport,HME
Hat Yai,Hat Yai International Airport,HDY
Haugesund,Haugesund Airport,HAU
Havana,José Martí International Airport,HAV
Hefei,Hefei Xinqiao International Airport,HFE
Helsinki,Helsinki-Vantaa Airport,HEL
Heraklion,Heraklion International Airport,HER
Herat,Herat International Airport,HEA
Hermosillo,Hermosillo International Airport,HMO
Hilo,Hilo International Airport,ITO
Hiroshima,Hiroshima Airport,HIJ
Ho Chi Minh City,Tan Son Nhat International Airport,SGN
Hobart,Hobart International Airport,HBA
Holguín,Frank País Airport,HOG
Hong Kong,Hong Kong International Airport,HKG
Honiara,Honiara International Airport,HIR
Honolulu,Daniel K. Inouye International Airport,HNL
Houston,George Bush Intercontinental Airport,IAH
Houston,William P. Hobby Airport,HOU
Huatulco,Bahías de Huatulco International Airport,HUX
Huesca,Huesca-Pirineos Airport,HSK
Huizhou,Huizhou Pingtan Airport,HUZ
Hulhulé Island,Velana International Airport,MLE
Huntsville,Huntsville International Airport,HSV
Hurghada,Hurghada International Airport,HRG
Huế,Phu Bai International Airport,HUI
Hyderabad,Rajiv Gandhi International Airport,HYD
Hévíz,Hévíz-Balaton Airport,SOB
Iași,Iași International Airport,IAS
Ibiza,Ibiza Airport,IBZ
Iloilo City,Iloilo International Airport,ILO
Ilulissat,Ilulissat Airport,JAV
Imphal,Imphal International Airport,IMF
Incheon,Incheon International Airport,ICN
Indianapolis,Indianapolis International Airport,IND
Indore,Devi Ahilya Bai Holkar International Airport,IDR
Inhambane,Inhambane Airport,INH
Innsbruck,Innsbruck Airport,INN
Inverness,Inverness Airport,INV
Ipoh,Sultan Azlan Shah Airport,IPH
Irkutsk,Irkutsk Airport,IKT
Isfahan,Isfahan International Airport,IFN
Islamabad,Gandhara International Airport,ISB
Isle of Man,Isle of Man Airport,IOM
Istanbul,Atatürk International Airport,IST
Istanbul,Sabiha Gökçen International Airport,SAW
Ivano-Frankivsk,Ivano-Frankivsk International Airport,IFO
Ixtapa,Ixtapa-Zihuatanejo International Airport,ZIH
Jacksonville,Jacksonville International Airport,JAX
Jaipur,Jaipur International Airport,JAI
Jakarta,Halim Perdanakusuma International Airport,HLP
Jakarta,Soekarno Hatta International Airport,CGK
Jayapura,Sentani Airport,DJJ
Jeddah,King Abdulaziz International Airport,JED
Jeju City,Jeju International Airport,CJU
Jerez de la Frontera,Jerez Airport,XRY
Jersey,Jersey Airport,JER
Jieyang,Jieyang Chaoshan International Airport,SWA
Jijel,Jijel Ferhat Abbas Airport,GJL
Jinan,Jinan Yaoqiang International Airport,TNA
Johannesburg,Lanseria International Airport,HLA
Johannesburg,OR Tambo International Airport,JNB
Johor Bahru,Senai International Airport,JHB
João Pessoa,Presidente Castro Pinto International Airport,JPA
Juba,Juba International Airport,JUB
Juneau,Juneau International Airport,JNU
Kabul,Hamid Karzai International Airport,KBL
Kagoshima,Kagoshima Airport,KOJ
Kailua,Kona International Airport,KOA
Kalamata,Kalamata International Airport,KLX
Kalibo,Kalibo International Airport,KLO
Kaliningrad,Khrabrovo Airport,KGD
Kandahar,Kandahar International Airport,KDH
Kangerlussuaq,Kangerlussuaq Airport,SFJ
Kannur,Kannur International Airport,CNN
Kano,Mallam Aminu Kano International Airport,KAN
Kanpur,Captain Lakshmi Sehgal International Airport,KPR
Kansas City,Kansas City International Airport,MCI
Kaohsiung,Kaohsiung International Airport,KHH
Karachi,Jinnah International Airport,KHI
Karaganda,Karaganda Airport,KGF
Karlovy Vary,Karlovy Vary Airport,KLV
Karpathos,Karpathos Island National Airport,AOK
Kasane,Kasane Airport,BBK
Kathmandu,Tribhuvan International Airport,KTM
Katowice,Katowice International Airport,KTW
Kaunas,Kaunas Airport,KUN
Kavala,Kavala International Airport,KVA
Kayseri,Erkilet Airport,ASR
Kazan,Kazan Airport,KZN
Kendari,Haluoleo Airport,KDI
Ketchikan,Ketchikan International Airport,KTN
Key West,Key West International Airport,EYW
Khabarovsk,Khabarovsk Novy Airport,KHV
Kharkiv,Kharkiv International Airport,HRK
Khartoum,Khartoum International Airport,KRT
Khujand,Khujand Airport,LBD
Kiev,Boryspil International Airport,KBP
Kiev,serving Kiev),GML
Kiev,Kyiv Zhuliany International Airport,IEV
Kigali,Kigali International Airport,KGL
Kingston,Norman Manley International Airport,KIN
Kingstown,Argyle International Airport,SVD
Kinshasa,N'djili Airport,FIH
Kiritimati,Cassidy International Airport,CXI
Kisangani,Bangoka International Airport,FKI
Kish Island,Kish Airport,KIH
Kismayo,Kismayo Airport,KMU
Kisumu,Kisumu International Airport,KIS
Kitakyushu,New Kitakyushu Airport,KKJ
Kittilä,Kittilä Airport,KTT
Klagenfurt,Klagenfurt Airport,KLU
Knock,Ireland West Airport Knock,NOC
Ko Samui,Samui Airport,USM
Kohat,Kohat Airport,OHT
Kolkata,Netaji Subhash Chandra Bose International Airport,CCU
Komatsu,Komatsu Airport,KMQ
Komsomolsk-on-Amur,Komsomolsk-on-Amur Airport,KXK
Konya,Konya Airport,KYA
Koror,Roman Tmetuchl International Airport,ROR
Kos,Kos Island International Airport,KGS
Kosrae,Kosrae International Airport,KSA
Kostanay,Kostanay Airport,KSN
Kota Bharu,Sultan Ismail Petra Airport,KBR
Kota Kinabalu,Kota Kinabalu International Airport,BKI
Kottayam,Sabarigiri International Airport,SIA
Kozhikode,Calicut International Airport,CCJ
Košice,Košice International Airport,KSC
Krabi,Krabi International Airport,KBV
Kraków,John Paul II International Airport Kraków-Balice,KRK
Kralendijk,Flamingo International Airport,BON
Krasnodar,Pashkovsky Airport,KRR
Krasnoyarsk,Yemelyanovo International Airport,KJA
Kristiansand Airport,Kjevik,KRS
Kristiansund Airport,Kvernberget,KSU
Kryvyi Rih,Kryvyi Rih International Airport,KWG
Kuala Lumpur,Kuala Lumpur International Airport,KUL
Kuching,Kuching International Airport,KCH
Kunming,Kunming Changshui International Airport,KMG
Kuopio,Kuopio Airport,KUO
Kupang,El Tari Airport,KOE
Kursk,Kursk Vostochny Airport,URS
Kutaisi,Kutaisi International Airport,KUT
Kuusamo,Kuusamo Airport,KAO
Kuwait City,Kuwait International Airport,KWI
Kwajalein,Bucholz Army Airfield,KWA
Kütahya,Zafer Airport,KZR
La Ceiba,Golosón International Airport,LCE
La Palma,La Palma Airport,SPC
La Paz,El Alto International Airport,LPB
La Romana,La Romana International Airport,LRM
Lagos,Murtala Mohammed International Airport,LOS
Lahore,Allama Iqbal International Airport,LHE
Lakeland,Lakeland Linder International Airport,LAL
Lamezia Terme,Lamezia Terme Airport,SUF
Langkawi,Langkawi International Airport,LGK
Lankaran District,Lankaran International Airport,LLK
Lansing,Capital Region International Airport,LAN
Lanzarote,Lanzarote Airport,ACE
Lanzhou,Lanzhou Zhongchuan International Airport,LHW
Laoag,Laoag International Airport,LAO
Lappeenranta,Lappeenranta Airport,LPP
Lapu-Lapu,Mactan–Cebu International Airport,CEB
Larnaca,Larnaca International Airport,LCA
Las Vegas,McCarran International Airport,LAS
Latakia,Bassel Al-Assad International Airport,LTK
Leeds,Leeds Bradford International Airport,LBA
Leipzig,Leipzig/Halle Airport,LEJ
Leticia,Alfredo Vásquez Cobo International Airport,LET
León,Del Bajío International Airport,BJX
Lhasa (prefecture-level city),Lhasa Gonggar Airport,LXA
Liberia,Daniel Oduber Quirós International Airport,LIR
Libreville,Libreville International Airport,LBV
Lille,Lille Lesquin Airport,LIL
Lilongwe,Lilongwe International Airport,LLW
Lima,Jorge Chávez International Airport,LIM
Limoges,Bellegarde Airport,LIG
Linz,Linz Airport,LNZ
Lisbon,Humberto Delgado Airport,LIS
Liuzhou,Liuzhou Bailian Airport,LZH
Liverpool,Liverpool John Lennon Airport,LPL
Livingstone,Harry Mwanga Nkumbula International Airport,LVI
Liège,Liège Airport,LGG
Ljubljana,Ljubljana Jože Pučnik Airport,LJU
Lleida,Alguaire Airport,ILD
Lomé,Tokoin Airport,LFW
London,Gatwick Airport,LGW
London,Heathrow Airport,LHR
London,London City Airport,LCY
London,London International Airport,YXU
London,Southend Airport,SEN
London,Stansted Airport,STN
London,Luton Airport,LTN
Loreto,Loreto International Airport,LTO
Los Angeles,Los Angeles International Airport,LAX
Los Cabos Municipality,Los Cabos International Airport,SJD
Louisville,Louisville International Airport,SDF
Luanda,Quatro de Fevereiro Airport,LAD
Luang Prabang,Luang Prabang International Airport,LPQ
Lubango,Lubango Airport,SSD
Lublin,Lublin Airport,LUZ
Lubumbashi,Lubumbashi International Airport,FBM
Lucknow,Chaudhary Charan Singh International Airport,LKO
Luganville,Santo-Pekoa International Airport,SON
Luhansk,Luhansk International Airport,VSG
Luleå,Luleå Airport,LLA
Luoyang,Luoyang Beijiao Airport,LYA
Lusaka,Kenneth Kaunda International Airport,LUN
Luxembourg City,Findel Airport,LUX
Luxor,Luxor International Airport,LXR
